character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Linh Nữ Tiên Hậu,Người bạn tri kỷ
Dmi,Dead Inside Employee (You),Diễm Mi,Tâm hồn lạc lối
Rob,Cosmic Fuel Manager,Rob,Quản lý trạm xăng
Flubber,Cat???,Múp Míp,Mồn lèo???
Calder,Frugal R&B Enthusiast,Calder,Tín đồ R&B thích săn sale
Zerua,Entry-level Clouditech,Zerua,Kỹ sư thời tiết tập sự
8008,Arinator Stan,8008,Fan cuồng Arinator
Crust,Apocalyptic Junkie,Thạch Tượng,Kẻ cuồng tận thế
Romulus,Sharp-Eyed Brother,Romulus,Sói Ngầu
Remus,Dimwitted Brother,Remus,Sói Ngơ
K'Kili the Destroyer,Ex-Con Turned Housewife,K’Kili Kẻ Hủy Diệt,Chị đại hoàn lương
Aiyana,The Last One Standing,Aiyana,Người trụ lại sau cùng
