[D3D-1],[D3D-2],,FALSE,FALSE,TRUE,FALSE,,,None,Doomsday. 
[D3D-2],[D3D-3],,FALSE,FALSE,TRUE,FALSE,,,None,Feels a lot quieter than how I’d imagined it. 
[D3D-3],[D3D-4],,FALSE,FALSE,TRUE,FALSE,,,None,"Well, most people evacuated… it makes sense it's this quiet. "
[D3D-4],[D3D-4b],,FALSE,FALSE,TRUE,FALSE,,,None,"There’s no Flubber, no Rob, just me. "
[D3D-4b],[T18],,FALSE,FALSE,FALSE,TRUE,Text_2,,None,-phone chimes- 
[T18],[T19],,TRUE,FALSE,FALSE,FALSE,Pocket_Swoosh_2,Cassiopeia,None," Dmi, did you get my message about where to meet me at the Space Port? You haven’t been answering me since last night. "
[T19],[T20],,TRUE,FALSE,FALSE,FALSE,,Dmi,None," Sorry, just been so busy. You know how it is. "
[T20],[D3D-5],,TRUE,FALSE,FALSE,FALSE,Text_4_vibrate,Cassiopeia,None," What’s wrong with you? I would think this is a pretty big time to answer your messages! I mean, we got the last space jumps of the day! "
[D3D-5],[D3D-6],,FALSE,FALSE,TRUE,FALSE,,,None,For once I feel tears threaten to fall from my face as I stare at my phone. 
[D3D-6],[T21],,FALSE,FALSE,FALSE,TRUE,,,None,I wipe my face. Why am I such a loser? I don’t wanna weigh her down. I’m doing her a favor by not telling her! 
[T21],[DD3-1a],,TRUE,FALSE,FALSE,FALSE,,Cassiopeia,None, Dmi? 
[DD3-1a],[DD3-1],,FALSE,FALSE,FALSE,TRUE,Smoke_Detector_Beep_2,,None,-smoke alarm chirps- 
[DD3-1],[D3D-7],,FALSE,FALSE,FALSE,FALSE,,Dmi,None, Really? Today of all days? 
[D3D-7],[D3D-8],,FALSE,FALSE,FALSE,FALSE,,,None,You’d think after all this time smoke alarms wouldn’t work the same way as they did hundreds of years ago. 
[D3D-8],[AD1a],,FALSE,FALSE,FALSE,TRUE,,,None,"I tune it out as a busy myself with my normal routine. Cleaning, waiting, more cleaning, and more waiting. "
[AD1a],[AD1],,FALSE,FALSE,FALSE,TRUE,Door_Chime-Door_Open,,None,-door opens and chimes- 
[AD1],[D3D-9],,FALSE,FALSE,FALSE,FALSE,ALYANA1,Aiyana,Aiyana," Oh, wow. You’re actually open. "
[D3D-9],[D3D-10],,FALSE,FALSE,FALSE,TRUE,,,Aiyana,My head whips up from where I was brooming from the already pristine floors. 
[D3D-10],[TDP10-5],,FALSE,FALSE,FALSE,TRUE,,,Aiyana,Xey holds a phone in xeir hand. 
[DD3-2],[D3D-11],,FALSE,FALSE,FALSE,FALSE,,Dmi,Aiyana," Oh, hey. Uh, what are you doing here? "
[D3D-11],[D3D-12],,FALSE,FALSE,FALSE,TRUE,,,Aiyana,The person walks towards the counter. I walk behind it just as I usually would. 
[D3D-12],[AD2],,FALSE,FALSE,FALSE,TRUE,Smoke_Detector_Beep_2,,Aiyana,Xey pause as xey look up at the chirping smoke alarm. I watch the gears turn as xey decide to ignore it. 
[AD2],[DD3-3],,FALSE,FALSE,FALSE,FALSE,ALYANA2,Aiyana,Aiyana," I wanted to see if I can get a snack or something. My phone said this place was open. I wanted to grab something before going back home, to Earth. "
[DD3-3],[D3D-13],,FALSE,FALSE,FALSE,FALSE,,Dmi,Aiyana, Earth? 
[D3D-13],[AD3],,FALSE,FALSE,TRUE,FALSE,,,Aiyana,:/ you’re a jerk sometimes. u know that? 
[AD3],[AD4],,FALSE,FALSE,FALSE,FALSE,ALYANA3,Aiyana,Aiyana," Yeah, some people actually still live there. "
[AD4],[D3D-14],,FALSE,FALSE,FALSE,FALSE,ALYANA1,Aiyana,Aiyana, and by some people I mean me. 
[D3D-14],[DD3-4],,FALSE,FALSE,FALSE,TRUE,,,Aiyana,I chuckle. 
[DD3-4],[AD5],,FALSE,FALSE,FALSE,FALSE,,Dmi,Aiyana," Well, what are you looking for? I can help you pick out something. "
[AD5],[AD6],,FALSE,FALSE,FALSE,FALSE,ALYANA3,Aiyana,Aiyana," Well, to be honest…I don’t really care. What do you think is good? "
[AD6],[AD6b],,FALSE,FALSE,FALSE,FALSE,Alyana_Short,Aiyana,Aiyana, I’ll take anything. 
[AD6b],[TDP10-1],,FALSE,TRUE,FALSE,TRUE,,,Aiyana,Please pick an item from the shop 
[TDP10-1],[TDP10-2],,FALSE,FALSE,FALSE,FALSE,ALYANA1,Aiyana,Aiyana," Hmm, don’t think I’ve tried this before. "
[TDP10-2],[TDP10-3],,FALSE,FALSE,FALSE,FALSE,Alyana_Short,Aiyana,Aiyana, How many luncos is it? 
[TDP10-3],[TDP10-4],,FALSE,FALSE,FALSE,FALSE,,Dmi,Aiyana, I’d be crazy to make this company richer by charging you. 
[TDP10-4],[TDP10-4a],,FALSE,FALSE,FALSE,FALSE,Alyana_Short,Aiyana,Aiyana, Just checking. 
[TDP10-4a],[TDP10-5],,FALSE,FALSE,FALSE,FALSE,ALYANA1,Aiyana,Aiyana," So, what possessed you to clock in when you could be at home, or better yet, at the Space Port on your way out of here? "
[TDP10-5],[TDP10-6],,FALSE,FALSE,FALSE,FALSE,,Dmi,Aiyana, Just a coward who thinks working at a gas station is more comfortable than confronting my problems head-on. 
[TDP10-6],[TDP10-7],,FALSE,FALSE,FALSE,FALSE,,Dmi,Aiyana, What about you? 
[TDP10-7],[TDP10-8],,FALSE,FALSE,FALSE,TRUE,,,Aiyana,Xey let out a bitter laugh. 
[TDP10-8],[TDP10-9],,FALSE,FALSE,FALSE,FALSE,Alyana_Short,Aiyana,Aiyana, I stayed behind. 
[TDP10-9],[TDP10-10],,FALSE,FALSE,FALSE,FALSE,ALYANA2,Aiyana,Aiyana," You might think it's stupid, but I want to stay with the Earth in its final moments. "
[TDP10-10],[TDP10-11],,FALSE,FALSE,FALSE,FALSE,ALYANA1,Aiyana,Aiyana," Everyone left it behind, and I just don’t want to do the same. I did too much for that floating rock in space. I tried my best. "
[TDP10-11],[TDP10-12],,FALSE,FALSE,FALSE,FALSE,,Dmi,Aiyana, You’re just going to get sent to hell with it? 
[TDP10-12],[TDP10-13],,FALSE,FALSE,FALSE,FALSE,ALYANA2,Aiyana,Aiyana, That does make it sound cooler when you say it like that. 
[TDP10-13],[TDP10-14],,FALSE,FALSE,FALSE,FALSE,,Dmi,Aiyana, I don’t really think it's stupid. 
